file_name,volume,surface_area,bounding_box_x,bounding_box_y,bounding_box_z,bounding_box_volume,compactness,triangle_count,edge_count,vertex_count,profitable
01-28x__N0011043-R03_ajoasento.stl,122034.2109375,52149.67578125,131.5105972290039,135.5563926696777,36.15479850769043,644535.2865056867,2.340076119540832,20820,31230,10366,1.0
01-or1040-1005.stl,10596.3310546875,9333.9287109375,175.99929809570312,21.99930000305176,10.746999740600586,41610.89302225355,1.1352487663925177,424658,636987,212319,1.0
017240-A__Tiiviste.stl,14083.9921875,12077.357421875,49.2978515625,49.29804611206055,24.699996948242188,60028.10024432528,1.1661484955301975,43236,64854,21616,1.0
017240-A__Tiiviste_ajoasento.stl,14083.9921875,12077.357421875,49.2978515625,49.29804611206055,24.699996948242188,60028.10024432528,1.1661484955301975,43236,64854,21616,1.0
01b_muotti_045188_08__Duckbill Check Valve.stl,367.40625,627.2952270507812,10.399898529052734,13.000503540039062,10.399993896484377,1406.119918267946,0.5856991001308184,9628,14442,4816,1.0
01e-FIX3__t2136_1_asm.stl,568.0520629882812,1418.6202392578125,20.809310913085938,17.720001220703125,18.82310104370117,6940.849380196116,0.4004257427523184,11098,16647,5547,1.0
01e-FIX3__t2136_1_asm_pinneill�.stl,573.5748901367188,1441.968994140625,20.7095947265625,17.67439842224121,20.440000534057617,7481.645799167715,0.3977719995834959,11266,16899,5631,1.0
01_100x_SLD251260_A_CPU Plastic Handle_FSC301__DRW252752-A_AJOAS.stl,510.7903747558594,591.9453125,18.1495361328125,15.556221783161163,16.24057388305664,4585.334548853486,0.8629012916727158,4090,6135,2043,1.0
01_102137.stl,4264.859375,4998.41064453125,36.88438034057617,39.07248497009277,32.50000000000003,46837.84288587135,0.8532430963162607,113932,170898,56958,1.0
01_150x_BX3826_23042020_ajoasento.stl,4173.287109375,3684.4248046875,32.64837646484375,32.409685134887695,25.053466796875,26509.664514435804,1.1326834799465977,77356,116034,38672,1.0
01_15x_6206423-T001_SAP_AJOASENTO.stl,7687.90625,7037.77490234375,36.120849609375,58.11914587020874,41.043641090393066,86163.44632875679,1.0923774000557678,4906,7359,2455,1.0
01_1x_10031200_155223-C__vahvistettu.stl,247935.328125,174636.546875,364.0,290.0009880065918,83.3365999981761,8797041.466515558,1.4197218884685416,379252,568878,189444,1.0
01_1x_Aurora powertrains kuomun rim valu muutos.stl,1098427.5,642899.0,416.6229095458984,400.4147338867188,565.0586242675781,94264182.38788638,1.708553754166673,270346,405519,135167,1.0
01_1x_Tuulilasin kiinnikkeiden jigi sivu.STL,45611.83203125,32518.37109375,146.92363739013672,184.81265258789065,179.10107421875,4863193.643903959,1.4026481184974406,39688,59532,19842,1.0
01_200x_56100355_002_ajoasento_P100_kone.stl,6608.90234375,11398.3271484375,53.72036743164063,64.09636306762695,70.47999143600464,242682.35724750964,0.5798133583712728,63542,95313,31761,1.0
01_210x_SLD257711_H_Battery cover_for DMU801__DRW256364-H_AJOASENTO.stl,380.484375,690.8238525390625,15.273956298828123,21.447492599487305,14.993499755859377,4911.69156786213,0.5507690181825121,54820,82230,27412,1.0
01_300x_BX4016A_1_16.stl,1823.61328125,4539.56103515625,42.01210021972656,35.91069793701172,68.09810066223145,102738.50405079394,0.4017157754080581,14722,22083,7363,1.0
01_400x_8120543_Tapilla.stl,14975.4375,11317.70703125,26.31134033203125,101.34255504608154,130.54208374023438,348085.04304453096,1.323186530509265,11588,17382,5796,1.0
01_500x_BX4037_ajoasento.stl,321.3512268066406,819.0384521484375,12.316000938415527,20.87109375,21.07750129699707,5417.938199608297,0.392351819336073,32346,48519,16187,1.0
01_50x_IM006057_ajoasento.stl,4697.55908203125,3488.9443359375,32.575286865234375,54.6248574256897,49.94035983085632,88864.89509704815,1.3464127339735812,3902,5853,1945,1.0
01_97x_8120544_1_tapilla.stl,9337.7822265625,8525.9140625,22.166290283203125,101.40827560424805,127.90530967712402,287511.3458980563,1.0952235922284723,5432,8148,2718,1.0
02-28x__N0011046-R02_ajoasento.stl,18229.830078125,19664.9140625,113.02033615112305,113.61257553100586,10.550199508666992,135470.16888503998,0.9270231245448648,9914,14871,4931,1.0
02_15x_6206424-T002_SAP_AJOASENTO.stl,7688.63720703125,7037.81591796875,36.16455078125,57.11590194702149,40.29088592529297,83223.68296828531,1.092474895144791,4886,7329,2445,1.0
02_1x_Tuulilasin kiinnikkeiden jigi top.STL,55980.26171875,40641.265625,64.00000381469727,95.76837158203124,347.7329406738281,2131316.4453572226,1.3774241736289432,29508,44262,14752,1.0
02_300x_BX4017_1_1_1_1_1.stl,1928.4635009765625,4752.14794921875,38.78689956665039,37.29978942871094,68.77680397033691,99502.37252842172,0.4058088093182369,14408,21612,7205,1.0
02_500x_BX4038_ajoasento.stl,489.724365234375,1075.7431640625,15.760123252868652,20.932580947875977,21.409400939941406,7062.962563429027,0.4552428326710913,42470,63705,21249,1.0
02_50x_BX3827_23042020_ajoasento.stl,1505.5416259765625,1748.80810546875,31.672836303710938,31.67541980743408,16.411972045898438,16465.31729683355,0.8608958417270245,17908,26862,8956,1.0
02_97x_8120545_1_tapilla.stl,9335.9638671875,8526.1533203125,20.962326049804688,101.59089469909668,127.7066068649292,271961.6220913905,1.094979590027513,5142,7713,2573,1.0
02_Navi200CoverTop1v3.stl,829303.25,418633.71875,327.11070251464844,125.13418579101562,345.3994026184082,14138140.98093952,1.9809757620007764,364408,546612,182157,1.0
03-21x__N0011052_1_ajoasento.stl,1806.2259521484373,3803.77490234375,36.03026390075684,22.4395751953125,74.53999996185303,60265.874421847344,0.4748509043044334,76,114,40,1.0
03-apu_Navi200CoverTop1v3.stl,854568.25,408516.8125,327.11070251464844,125.13418579101562,345.3994026184082,14138140.98093952,2.0918802454427747,335546,503319,167770,1.0
04-apu_Navi200CoverTop1v3.stl,834563.8125,417285.8125,327.11070251464844,125.13418579101562,345.3994026184082,14138140.98093952,1.999981277820223,370046,555069,185010,1.0
04_1x_tukivarren suojakumin_masteri.stl,69023.0,69851.7109375,107.06610107421876,133.1204833984375,128.88027954101562,1836890.8171216736,0.9881361397397768,45992,68988,22988,1.0
05-apu_Navi200CoverTop1v3.stl,834413.9375,417085.03125,327.1107940673828,125.13427734375,345.3994026184082,14138155.281947749,2.0005847129043905,398902,598353,199442,1.0
05_500x_BX4069A_ajoasento_1.stl,536.0989379882812,1179.6793212890625,14.439727783203123,22.136512756347656,23.09910011291504,7383.516897457878,0.4544446344981903,12408,18612,6206,1.0
1.stl,2806.270751953125,1337.13623046875,23.167312622070312,12.0,20.000001907348636,5560.15555955458,2.098717159858387,35502,53253,17753,1.0
1003-1189_REV-PR0 (ID 930970)_AJOASENTO.stl,1303.3140869140625,1620.5335693359375,37.7573356628418,29.595977783203125,39.82015286386013,44497.63776913322,0.8042499776466431,32614,48921,16309,1.0
10035614_B_Water_tank_soft_overmould.stl,16031.7060546875,5352.94140625,17.995598793029785,38.32919788360596,50.62269878387451,34917.354120958065,2.994933969568425,27990,41985,13988,1.0
100x_SLD255904-B Booster Adapter Holder__DRW255320_B Booster Adapter Holder_01062021_1.stl,6477.046875,5331.1337890625,33.577545166015625,43.61248588562012,44.847928047180176,65675.31545785024,1.2149473510284974,28454,42681,14224,1.0
10x_Pin_221020.stl,4251.2705078125,4208.49560546875,27.912813186645508,26.092641830444336,130.8000030517578,95264.13225692252,1.0101639413115142,11710,17565,5855,1.0
10x_Strap_Lower_221020.stl,3873.658203125,5687.10791015625,27.0,48.276954650878906,154.80030822753906,201778.7614265605,0.6811297173045154,18728,28092,9364,1.0
10x_Strap_Outer_221020.stl,4781.8828125,6548.1123046875,27.06982040405273,27.998780608177185,156.08522033691406,118300.4165299566,0.7302689065178165,23164,34746,11578,1.0
10�_aluslevy laser 3dmalli__Document.stl,14969.4716796875,16243.4697265625,119.5,70.0,3.0009002685546875,25102.53074645996,0.9215686015167271,17464,26196,8686,1.0
116244 RFID Antenna Holder_V5.stl,17565.744140625,18586.18359375,67.5698013305664,87.5698013305664,12.5,73963.42598079427,0.9450968808105316,43350,65025,21669,1.0
116244_V6_ajoasento.stl,17568.404296875,18586.31640625,67.5698013305664,87.5698013305664,12.500099999997474,73964.01768818717,0.9452332518651888,86928,130392,43458,1.0
