file_name,volume,surface_area,bounding_box_x,bounding_box_y,bounding_box_z,bounding_box_volume,compactness,triangle_count,edge_count,vertex_count
240x_DRW245906-B_SLD240100-B-Pin Guide.stl,254.21875,431.89349365234375,8.0,7.9951934814453125,8.300300598144531,530.9000738905743,0.588614447164225,8094,12141,4041
SLD240100-B.stl,254.18121337890625,431.9049072265625,8.0,7.995200157165527,8.300300002098083,530.900479050365,0.5885119829063936,7620,11430,3804
240x_DRW245906-B_SLD240100-B-Pin Guide.stl,254.1822967529297,431.90655517578125,7.999961853027344,7.996360778808594,8.300300598144531,530.9750533441673,0.5885122457784422,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_1.stl,254.2106170654297,431.9061279296875,7.999958038330078,7.996360778808594,8.300300598144531,530.9748001543245,0.5885783984681369,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_10.stl,254.2434844970703,431.9063415527344,7.9999542236328125,7.996360778808594,8.300300598144531,530.9745469644818,0.5886542058702975,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_100.stl,253.3125,431.90576171875,7.99993896484375,7.996368408203125,8.300300598144531,530.9740408113893,0.5864994692174377,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_101.stl,254.6875,431.9060974121094,7.999969482421875,7.996368408203125,8.300300598144531,530.9760663320643,0.5896825757405001,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_102.stl,254.123046875,431.9063720703125,7.999961853027344,7.9963531494140625,8.300300598144531,530.9745467364392,0.5883753130496298,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_103.stl,254.1223907470703,431.9060974121094,7.999958038330078,7.9963531494140625,8.300300598144531,530.9742935468379,0.5883741680650454,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_104.stl,254.1341094970703,431.9062805175781,7.999961853027344,7.9963531494140625,8.300300598144531,530.9745467364392,0.5884010512478003,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_105.stl,254.1744842529297,431.9063720703125,7.999961853027344,7.9963531494140625,8.300300598144531,530.9745467364392,0.5884944068654564,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_106.stl,254.1796875,431.9060974121094,7.9999542236328125,7.9963531494140625,8.300300598144531,530.9740403572366,0.5885068282735328,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_107.stl,254.3072967529297,431.9064636230469,7.999961853027344,7.996368408203125,8.300300598144531,530.9755599518955,0.5888017850431624,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_108.stl,254.21875,431.90618896484375,7.9999542236328125,7.996368408203125,8.300300598144531,530.9750535717268,0.5885971456192606,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_109.stl,254.0755157470703,431.9061584472656,7.9999542236328125,7.996368408203125,8.300300598144531,530.9750535717268,0.5882655543984149,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_11.stl,254.1953125,431.90667724609375,7.9999542236328125,7.996360778808594,8.300300598144531,530.9745469644818,0.5885422150006804,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_110.stl,253.9244842529297,431.90631103515625,7.9999542236328125,7.996368408203125,8.300300598144531,530.9750535717268,0.5879156607930667,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_111.stl,253.96875,431.9061279296875,7.9999542236328125,7.996368408203125,8.300300598144531,530.9750535717268,0.5880183993160316,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_112.stl,254.1927032470703,431.9061279296875,7.9999542236328125,7.9963531494140625,8.300300598144531,530.9740403572366,0.5885369222833805,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_113.stl,253.953125,431.9063415527344,7.999969482421875,7.9963531494140625,8.300300598144531,530.9750531156416,0.5879819316544884,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_114.stl,253.8177032470703,431.9065856933594,7.999969482421875,7.9963531494140625,8.300300598144531,530.9750531156416,0.587668055210608,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_115.stl,253.859375,431.9061584472656,7.999969482421875,7.9963531494140625,8.300300598144531,530.9750531156416,0.5877651198877162,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_116.stl,254.0625,431.9061279296875,7.99993896484375,7.9963531494140625,8.300300598144531,530.9730275988317,0.5882354603715192,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_117.stl,254.1927032470703,431.906005859375,7.999969482421875,7.996368408203125,8.300300598144531,530.9760663320643,0.5885370886225494,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_118.stl,253.8854217529297,431.90618896484375,7.999969482421875,7.996368408203125,8.300300598144531,530.9760663320643,0.5878253848629046,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_119.stl,254.140625,431.9056396484375,7.999958038330078,7.996368408203125,8.300300598144531,530.9753067618112,0.5884170098053486,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_12.stl,254.1197967529297,431.90667724609375,7.9999542236328125,7.996360778808594,8.300300598144531,530.9745469644818,0.588367372260226,3582,5373,1785
240x_DRW245906-B_SLD240100-B-Pin Guide_120.stl,254.09375,431.9062194824219,7.999958038330078,7.996368408203125,8.300300598144531,530.9753067618112,0.5883076893509318,3582,5373,1785
