file_name,volume,surface_area,bounding_box_x,bounding_box_y,bounding_box_z,bounding_box_volume,compactness,aspect_ratio_xy,aspect_ratio_xz,aspect_ratio_yz,triangle_count,mesh_density,edge_count,vertex_count
1x_54-6024025_A-Cover_Rev 0.002.stl,105324.2734375,74130.5859375,140.0,37.367432594299316,195.84034729003906,1024527.1367246585,1.420793753421828,3.746577976603029,0.7148680133448719,0.19080558787489404,78018,1.0524400827720086,117027,39003
1x_BE_22230.stl,74442.3671875,62361.78515625,80.0,79.99998474121094,81.19561004638672,519651.8051811401,1.1937177071018992,1.0000001907348997,0.985274942257301,0.9852747543310195,5576,0.08941373288191004,8364,2798
Meshed-Korkea_laipan_pallotappi_MARS.stl,4130.96728515625,2123.211669921875,16.0,56.99999999988703,13.809317111968994,12594.097206090762,1.9456219762150477,0.28070175438652123,1.158638031864173,4.127647988507936,1355,0.6381841335912863,2032,865
testi1.stl,95085.125,66532.65625,140.0,13.594616889953613,196.55718994140625,374096.75719069666,1.4291496891798905,10.298193846378977,0.7122608948659371,0.06916367136712817,33582,0.5047446155435887,50373,16785
